"Subscription Id","Addon Id","Addon Quantity","Currency","Addon Unit Price","Addon Amount","Addon Amount In Decimal","Addon Quantity In Decimal","Addon Unit Price In Decimal","Addon Current Term Start Date","Addon Current Term End Date","Addon Next Billing Date"
"169n5CV9QupnEKews","content_writer_83091_recurring_USD","1","USD","58.00","58.00","","","","","",""
"169n5CV9QupnEKews","ai_search_83091_recurring_USD","1","USD","224.00","224.00","","","","","",""
"AzZKG2V3ZmtxEk6g","ai_search_84710_recurring_GBP","1","GBP","822.00","822.00","","","","","",""
"16CN9hTUi5uk46Ch","ai_search_56641_recurring_EUR","1","EUR","703.00","703.00","","","","","",""
"16BZ7ySAlUVznyDF","ai_search_11566_recurring_USD","1","USD","728.00","728.00","","","","","",""
